Region,Province,City/Municipality,Type,Barangay
Region I (Ilocos Region),Ilocos Norte,Adams,Municipality,Adams
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Bani
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Buyon
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Cabaruan
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Cabulalaan
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Cabusligan
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Cadaratan
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Calioet-Libong
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Casilian
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Corocor
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Duripes
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Ganagan
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Libtong
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Macupit
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Nambaran
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Natba
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Paninaan
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Pasiocan
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Pasngal
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Pipias
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Pulangi
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Pungto
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,San Agustin I
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,San Agustin II
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,San Andres I
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,San Andres II
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,San Gabriel I
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,San Gabriel II
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,San Pedro I
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,San Pedro II
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,San Roque I
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,San Roque II
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,San Simon I
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,San Simon II
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,San Vicente
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Sangil
Region I (Ilocos Region),Ilocos Norte,Bacarra,Municipality,Santa Filomena I
